folder_name,final_category_pre_merge,source,notes
ACCESS_Magnetofluidic_MOB_qPCR,RNA_Sequencing_Epigenomics,content_verified_audit,Combines DNA bisulfite conversion with qPCR for epigenetic analysis; epigenomics methylation quantification is the primary focus.
ACE_Crispr_RAF1_Sorafenib,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled as Small_Molecule_Drug due to sorafenib keyword; primary technique is microfluidic CRISPR RNP gene editing.
AU_Shih_Wheeler_Bay_Microbioreactor,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Aerosol_Sampling,Aerosol_Environmental,content_verified_audit,
Aerosol_ion_detection,Aerosol_Environmental,content_verified_audit,
Ahmadi2019_id2m,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to id2m keyword; actual protocol characterizes device fluidic operations.
Ahmadi_ML_DMF_18FFDG_ofat,Chemistry_Synthesis_Purification_MS,human_manual_validation,"Radiosynthesis, matches content-verified finding."
Apoptosis,Cell_Based_Assay,content_verified_audit,
Bcarmen_Cas13_Detection,CRISPR_Based_Diagnostics,content_verified_audit,
Behavioral_Modeling_of_PCR,PCR_NucleicAcid,content_verified_audit,
Biology_Protocols,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Blood_Plasma_Separation,Extraction_Purification,content_verified_audit,Automated classifier labeled ELISA_Immunoassay via serology keyword; primary operation is physical extraction and separation of plasma.
CCEP_Reciprocating,Device_Fabrication_Protocol_Formalization,content_verified_audit,
CRISPR_MAGE_Droplet,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Cellspot_Multimodal,Cell_Based_Assay,content_verified_audit,
Ciprofloxacin,ELISA_Immunoassay,content_verified_audit,
Cnb_Steroid_Extraction,Extraction_Purification,content_verified_audit,Extraction protocol prior to downstream mass spectrometry/immunoassay.
Competitive_elisa,ELISA_Immunoassay,content_verified_audit,
Cortisol_Droplet_ELISA,ELISA_Immunoassay,content_verified_audit,
DBS_Succinylacetone,Clinical_Diagnostics_Newborn_Screening,human_manual_validation,Newborn screening assay; verified via manual review round.
DMF_AP_FDP_Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,
DMF_Ecoli_Transformation,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
DMF_Ribozyme_Cleavage,Enzyme_Kinetics_Screening,content_verified_audit,
DNA_Bisulfite_Conversion,RNA_Sequencing_Epigenomics,content_verified_audit,
