folder_name,automated_category,content_verified_category,match_yn,evidence_snippet,notes
ACCESS_Magnetofluidic_MOB_qPCR,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol performs automated on-chip bisulfite conversion followed by real-time quantitative PCR to quantify DNA methylation levels.,Combines DNA bisulfite conversion with qPCR for epigenetic analysis; epigenomics methylation quantification is the primary focus.
ACE_Crispr_RAF1_Sorafenib,CRISPR_Based_Diagnostics,Synthetic_Biology_Genetic_Engineering,N,Protocol delivers CRISPR/Cas9 ribonucleoproteins to primary cancer cells via microfluidic electroporation for targeted gene editing.,Automated classifier labeled as Small_Molecule_Drug due to sorafenib keyword; primary technique is microfluidic CRISPR RNP gene editing.
AU_Shih_Wheeler_Bay_Microbioreactor,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,"Protocol operates an integrated multi-chamber digital microbioreactor platform for continuous automated culture and density monitoring of bacteria, algae, and yeast.",
Aerosol_Sampling,Aerosol_Environmental,Aerosol_Environmental,Y,"Protocol interfaces air sampling with digital microfluidics for automated collection, extraction, and fluorometric quantification of airborne particles.",
Aerosol_ion_detection,Aerosol_Environmental,Aerosol_Environmental,Y,Protocol performs on-chip aerosol collection and chemical analysis of airborne inorganic ions and particulate matter.,
Ahmadi2019_id2m,Chemistry_Synthesis_Purification_MS,Device_Fabrication_Protocol_Formalization,N,"Protocol operates and characterizes an integrated droplet-digital microfluidic (ID2M) system for automated sub-nanoliter droplet generation, merging, and splitting.",Automated classifier labeled Chemistry_Synthesis_Purification_MS due to id2m keyword; actual protocol characterizes device fluidic operations.
Ahmadi_ML_DMF_18FFDG_ofat,Other,Chemistry_Synthesis_Purification_MS,N,Protocol automates the radiochemical synthesis of 18F-FDG on a digital microfluidic cartridge via fluorination and hydrolysis.,Radiochemical synthesis; automated classifier put this in Other.
Apoptosis,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol monitors programmed cell death (apoptosis) in cultured cells using fluorescent caspase cleavage substrates.,
Bcarmen_Cas13_Detection,CRISPR_Based_Diagnostics,CRISPR_Based_Diagnostics,Y,Protocol utilizes Cas13-based CARMEN multiplexed detection for specific viral RNA sequence identification via fluorescent reporter cleavage.,
Behavioral_Modeling_of_PCR,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs standard PCR thermal cycling and kinetic modeling of nucleic acid amplification.,
Biology_Protocols,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,Protocol implements formal semantic representations and automated workflows for general molecular biology laboratory operations.,
Blood_Plasma_Separation,ELISA_Immunoassay,Extraction_Purification,N,Protocol uses microfluidic inertial cross-flow filtration to separate cell-free blood plasma from whole blood samples.,Automated classifier labeled ELISA_Immunoassay via serology keyword; primary operation is physical extraction and separation of plasma.
CCEP_Reciprocating,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,Protocol characterizes contact charge electrification and reciprocating droplet mixing dynamics on digital microfluidic devices.,
CRISPR_MAGE_Droplet,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol combines multiplex automated genome engineering (MAGE) with CRISPR-Cas selection in microfluidic droplets for iterative bacterial strain optimization.,
Cellspot_Multimodal,Aerosol_Environmental,Cell_Based_Assay,N,Protocol performs high-throughput multimodal single-cell optical and impedance phenotypic monitoring of cultured mammalian cells.,
Ciprofloxacin,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol conducts a competitive enzyme-linked immunosorbent assay (ELISA) to detect and quantify ciprofloxacin antibiotic residues.,
Cnb_Steroid_Extraction,Extraction_Purification,Extraction_Purification,Y,Protocol carries out digital microfluidic extraction and cleanup of steroid hormones from core-needle biopsy tissue specimens.,Extraction protocol prior to downstream mass spectrometry/immunoassay.
Competitive_elisa,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol executes a classic competitive enzyme-linked immunosorbent assay with chromogenic substrate readout.,
Cortisol_Droplet_ELISA,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs a competitive droplet-based digital ELISA for quantitative measurement of cortisol in salivary samples.,
DBS_Succinylacetone,Clinical_Diagnostics_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,Y,Protocol extracts and quantifies succinylacetone from dried blood spot punches for clinical screening of tyrosinemia type I.,
DMF_AP_FDP_Enzyme_Assay,Enzyme_Kinetics_Screening,Enzyme_Kinetics_Screening,Y,Protocol measures alkaline phosphatase enzyme kinetics on digital microfluidics using fluorescein diphosphate fluorogenic substrate.,
DMF_Ecoli_Transformation,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol automates the chemical and heat-shock genetic transformation of competent E. coli cells with plasmid DNA on a DMF chip.,
DMF_Ribozyme_Cleavage,Enzyme_Kinetics_Screening,Enzyme_Kinetics_Screening,Y,Protocol performs real-time fluorescence monitoring of multiple hammerhead ribozyme catalytic cleavage reactions on a digital microfluidic chip.,
DNA_Bisulfite_Conversion,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol automates chemical bisulfite conversion and cleanup of unmethylated cytosines in genomic DNA for epigenetic profiling.,
