folder_name,new_category,old_category,source,notes
ACCESS_Magnetofluidic_MOB_qPCR,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,Combines DNA bisulfite conversion with qPCR for epigenetic analysis; epigenomics methylation quantification is the primary focus.
ACE_Crispr_RAF1_Sorafenib,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled as Small_Molecule_Drug due to sorafenib keyword; primary technique is microfluidic CRISPR RNP gene editing.
AU_Shih_Wheeler_Bay_Microbioreactor,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Aerosol_Sampling,Other,Aerosol_Environmental,content_verified_audit,
Aerosol_ion_detection,Other,Aerosol_Environmental,content_verified_audit,
Ahmadi2019_id2m,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to id2m keyword; actual protocol characterizes device fluidic operations.
Ahmadi_ML_DMF_18FFDG_ofat,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,human_manual_validation,"Radiosynthesis, matches content-verified finding."
Apoptosis,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
Bcarmen_Cas13_Detection,Nucleic_Acid_Assay,CRISPR_Based_Diagnostics,content_verified_audit,
Behavioral_Modeling_of_PCR,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Biology_Protocols,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Blood_Plasma_Separation,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,Automated classifier labeled ELISA_Immunoassay via serology keyword; primary operation is physical extraction and separation of plasma.
CCEP_Reciprocating,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
CRISPR_MAGE_Droplet,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Cellspot_Multimodal,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
Ciprofloxacin,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Cnb_Steroid_Extraction,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,Extraction protocol prior to downstream mass spectrometry/immunoassay.
Competitive_elisa,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Cortisol_Droplet_ELISA,Immunoassay,ELISA_Immunoassay,content_verified_audit,
DBS_Succinylacetone,Clinical_Diagnostic_Assay,Clinical_Diagnostics_Newborn_Screening,human_manual_validation,Newborn screening assay; verified via manual review round.
DMF_AP_FDP_Enzyme_Assay,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,
DMF_Ecoli_Transformation,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
DMF_Ribozyme_Cleavage,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,
DNA_Bisulfite_Conversion,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
DNA_Ligation,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled PCR_NucleicAcid; DNA fragment ligation is core synthetic biology / molecular cloning.
DNA_Methylomes,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
Detection_of_Cardiac_Markers,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Determination_of_Anthocyanin_Content,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Determination_of_Flavonoid_Content,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Diazepam,Immunoassay,ELISA_Immunoassay,content_verified_audit,Automated classifier labeled Small_Molecule_Drug; the actual wet-lab protocol executed is a competitive ELISA.
Digital_Eloha,Immunoassay,ELISA_Immunoassay,content_verified_audit,Enzyme-linked hybridization sandwich assay; classified under ELISA_Immunoassay based on enzyme-linked optical detection mechanism.
Digital_Isothermal_Cas13a_Assay,Nucleic_Acid_Assay,CRISPR_Based_Diagnostics,content_verified_audit,
Direct_elisa,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Distance_Based_Detection_Nucleic_Acid,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening; primary assay technique is isothermal nucleic acid amplification (RT-LAMP).
Droplet_Antibiotic_MIC_Screen,Clinical_Diagnostic_Assay,Antimicrobial_Susceptibility_Testing,content_verified_audit,
Droplet_Scale_Estrogen,Immunoassay,ELISA_Immunoassay,content_verified_audit,
EWOD_In_Vitro_Manipulation,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
Electrowetting_Realtime_Taqman_PCR,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Entrap_Conjugation,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Enzymatic_Assay,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,
Estimation_of_Ascorbic_Acid_Content,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_DPPH_Free_Radical_Scavenging_Activity,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Hydrogen_Peroxide,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Lipid_Peroxides,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Total_Phenolic_Content,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Total_Soluble_Sugar,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estradiol,Immunoassay,ELISA_Immunoassay,content_verified_audit,Automated classifier labeled Small_Molecule_Drug; protocol is an on-chip chemiluminescent immunoassay.
Exact2_TCA_Incubate,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Other; formalized protocol representation.
Exact_Yeast_Competent_Cells,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Synthetic_Biology_Genetic_Engineering; primary document nature is ontology-formalized procedure.
FDG_Radiosynthesis_ofat,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,Automated classifier labeled Other; radiochemical synthesis.
Fentanyl,Immunoassay,ELISA_Immunoassay,content_verified_audit,
